ANZAC ID ,Mouse ID,treatment,diet,diet.P,diet.C,diet.F,ave.intake,intake.P,intake.C,intake.F,intake.E,triglycerides,uterus.weight.mg,ucp1,ucp1.batw,GTT_AUC,P4,FSH,LH,body.weight,body.fat,no.cycles,no.CL,cholesterol,adiponectin,triglycerides,uterus.weight,adipo.size,red.liver,ucp1,ucp1.batw,fgf21,basal.glucose
23379,O101.1/6,blank,4,4.84,7.31,3.19,2.116092063,10.24188559,15.46863298,6.750333683,32.46085225,33.31127828,48,0.5384,11.85380889,16150,0.894,540.92,98.67,21.6,26.8,2,5,63.27341631,19941.5541,33.31127828,0.048,1335.99287,0.76766086,0.5384,11.8538089,19.9415541,9
23380,OSO117.1/7,blank,8,2.09,8.87,4.68,2.065737566,4.317391513,18.32309221,9.66765181,32.30813553,28.11493861,73.85,0.4382,9.588621444,15660,1.038,708.74,48.22,19.2,22.1,3,4,51.9019481,20334.4001,28.11493861,0.07385,1392.26435,4.02082127,0.4382,9.58862144,20.3344001,7.5
23381,OSO118.1/6,blank,7,2.09,4.47,9.26,2.282573545,4.770578709,10.20310375,21.13663103,36.11031348,21.76385678,67.27,0.6992,12.14310524,11304,0.856,1226,236.81,20.9,20.5,2,10,72.34830955,15120.2531,21.76385678,0.06727,1957.83771,8.33899633,0.6992,12.1431052,15.1202531,7
23382,OSO118.1/7,blank,7,2.09,4.47,9.26,2.282573545,4.770578709,10.20310375,21.13663103,36.11031348,17.14488819,84.53,0.8741,13.8973242,14549,0.968,1395,100.13,22.4,25.6,3,10,70.10419671,13250.5105,17.14488819,0.08453,1628.19962,17.4323251,0.8741,13.8973242,13.2505105,10.3
23383,O101.1/3,dht,3,0.75,3.06,12.19,3.583097354,2.687323016,10.9642779,43.67795675,57.32955767,23.49597001,68.03,3.0605,55.21378315,16668,0.32,3256,124.55,16.8,21.9,0,0,142.3728643,12150.0327,23.49597001,0.06803,,0.46428718,3.0605,55.2137832,13.1378122,5.8
23384,O2B.3/5,dht,3,0.75,3.06,12.19,3.583097354,2.687323016,10.9642779,43.67795675,57.32955767,52.65826756,59.8,2.6114,48.64754098,13144,,,,16.5,19.6,0,0,134.1709112,13997.5745,52.65826756,0.0598,1627.79024,2.4649221,2.6114,48.647541,9.07963118,5.9
23385,O2B.3/6,dht,3,0.75,3.06,12.19,3.583097354,2.687323016,10.9642779,43.67795675,57.32955767,22.6876505,44.63,0.6769,11.40906793,19096,3.86,1403,285.67,18.5,17.2,0,0,98.7789719,8889.9717,22.6876505,0.04463,1333.85733,0.84384982,0.6769,11.4090679,7.88627944,5.2
23386,O101.1/4,blank,4,4.84,7.31,3.19,2.116092063,10.24188559,15.46863298,6.750333683,32.46085225,90.35554046,53.19,0.271,4.473423572,16762,0.572,1069,76.6,20.9,20.7,2,5,83.06046245,24886.8235,90.35554046,0.05319,1373.70071,1.12957986,0.271,4.47342357,24.8868235,8.3
23387,O103.1/5,blank,5,4.93,3.06,7.8,2.090503704,10.30618326,6.396941333,16.30592889,33.00905348,33.88864935,50.78,0.488,9.143713697,19230,0.816,,,20.6,19.7,2,4,63.46836258,27327.4014,33.88864935,0.05078,1448.04707,13.7433156,0.488,9.1437137,27.3274014,7.5
23388,O104.1/7,blank,5,4.93,3.06,7.8,2.090503704,10.30618326,6.396941333,16.30592889,33.00905348,22.22575364,49.41,0.2729,6.347987904,15573,0.614,658.16,140,19.9,17.2,2,6,61.86005587,,22.22575364,0.04941,753.356201,4.51424875,0.2729,6.3479879,,8.9
23389,OSO120.1/2,dht,8,2.09,8.87,4.68,2.497020106,5.218772021,22.14856834,11.6860541,39.05339446,46.12891614,77.12,0.7808,4.542968523,15311,1.19,565.93,207.99,28.5,28.6,0,0,88.00723026,6321.0942,46.12891614,0.07712,2477.5102,26.7960282,0.7808,4.54296852,6.3210942,11.1
23390,OSO113.6/7,blank,6,0.74,7.46,7.8,2.501275132,1.850943598,18.65951249,19.50994603,40.02040212,108.2540438,53.4,,,14354,1.04,1285,239.27,19.72,21.6,2,1,78.04059607,17902.4283,108.2540438,0.0534,1632.78136,16.8566341,,,7.3478972,7.2
23391,OSO113.6/8,blank,6,0.74,7.46,7.8,2.501275132,1.850943598,18.65951249,19.50994603,40.02040212,29.15420654,50.01,0.8423,16.86961746,15448,1.79,1175,189.91,20.6,18.2,2,5,68.45851396,18248.6111,29.15420654,0.05001,1850.12874,13.8371674,0.8423,16.8696175,1.69667637,7.7
23392,OSO118.1/8,blank,7,2.09,4.47,9.26,2.282573545,4.770578709,10.20310375,21.13663103,36.11031348,76.61410888,55.67,0.3396,7.453906936,18404,1.588,912.1,168.72,20.03,19.3,3,10,85.93591989,8753.9501,76.61410888,0.05567,1990.85822,9.81255222,0.3396,7.45390694,8.75395011,7.8
23393,OSO117.1/6,blank,8,2.09,8.87,4.68,2.065737566,4.317391513,18.32309221,9.66765181,32.30813553,39.6623601,63.55,0.1474,2.738250046,11931,2.38,2163,51.22,21.5,21,3,6,80.08753187,15327.2827,39.6623601,0.06355,1710.96876,6.84194498,0.1474,2.73825005,15.3272827,9.8
23394,OSO117.1/8,blank,8,2.09,8.87,4.68,2.065737566,4.317391513,18.32309221,9.66765181,32.30813553,43.70395762,58.37,0.6362,11.0413051,15298,0.169,557.59,69.16,20.4,21.6,2,2,121.367404,19185.3876,43.70395762,0.05837,1842.50901,9.74127441,0.6362,11.0413051,19.1853876,9.3
23395,OSO113.6/6,blank,6,0.74,7.46,7.8,2.501275132,1.850943598,18.65951249,19.50994603,40.02040212,83.42708756,52.78,0.9389,12.13990173,17136,0.846,700.3,156.54,21.7,22,2,4,119.973371,8823.415,83.42708756,0.05278,1934.07345,1.90484746,0.9389,12.1399017,5.34587025,7.9
